                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.58719,                0.96686,                0.48141,                0.95595,                0.98009,                0.96992,                0.98646,                0.90457,                0.96977,                0.94808,                0.97571,                0.65821,                0.44358,                0.92539,                0.38127,                0.90803,               0.000515,               0.000515,               0.000515
                     78,                0.54367,                 0.9812,                0.48012,                0.95599,                0.97549,                0.97044,                0.98728,                0.90619,                0.97424,                0.94581,                 0.9772,                0.66705,                0.44055,                0.95069,                0.37224,                0.89787,              0.0004952,              0.0004952,              0.0004952
                     79,                0.53654,                 0.9823,                 0.5025,                0.94847,                0.98472,                0.95227,                0.98629,                0.90779,                0.97452,                0.94205,                0.97483,                0.64908,                0.45738,                0.95913,                0.38827,                0.90614,              0.0004754,              0.0004754,              0.0004754
                     80,                0.52473,                0.95791,                0.52837,                0.94403,                0.98015,                0.97289,                0.98723,                0.92663,                0.98471,                0.95205,                0.97928,                0.67001,                 0.4249,                0.89104,                 0.3636,                0.89187,              0.0004556,              0.0004556,              0.0004556
                     81,                0.53089,                0.90281,                0.47224,                0.91856,                0.98023,                 0.9771,                0.98776,                0.92459,                0.97635,                0.95074,                0.97697,                 0.6648,                0.42995,                0.90889,                0.35944,                0.89608,              0.0004358,              0.0004358,              0.0004358
                     82,                0.54856,                0.91389,                0.48367,                0.98128,                0.98507,                0.97476,                0.98758,                0.91376,                0.97013,                0.96001,                0.97594,                0.67682,                0.45393,                0.91548,                0.37483,                 0.8955,               0.000416,               0.000416,               0.000416
                     83,                0.51021,                0.94318,                0.45251,                0.92715,                0.98506,                0.97438,                 0.9871,                0.92905,                0.97012,                0.95967,                0.97442,                0.67057,                0.40688,                0.88415,                0.37168,                 0.8798,              0.0003962,              0.0003962,              0.0003962
                     84,                0.47843,                0.91789,                0.43489,                0.90334,                0.99027,                0.96059,                0.99112,                0.93559,                0.98512,                0.93596,                0.97501,                0.68851,                0.39988,                0.89391,                0.35409,                0.87921,              0.0003764,              0.0003764,              0.0003764
                     85,                0.53487,                0.92111,                0.47099,                0.96726,                0.98688,                0.96059,                0.98738,                0.92447,                0.98194,                0.94089,                0.97688,                0.68892,                 0.4123,                0.88368,                0.35695,                 0.8792,              0.0003566,              0.0003566,              0.0003566
                     86,                0.45971,                 1.0061,                0.40936,                0.89959,                0.98195,                0.96552,                0.98635,                0.92195,                0.98466,                0.94842,                 0.9773,                0.68605,                0.40017,                0.87633,                0.34716,                0.88115,              0.0003368,              0.0003368,              0.0003368
                     87,                0.53701,                0.86928,                 0.5032,                0.93438,                  0.975,                0.97537,                0.98577,                0.90564,                0.98973,                0.94958,                0.97736,                 0.6735,                0.44226,                  0.918,                0.36424,                 0.8985,               0.000317,               0.000317,               0.000317
                     88,                0.51225,                 0.9124,                  0.453,                0.93829,                0.97418,                0.97537,                0.98462,                0.91621,                0.95556,                0.95331,                0.97393,                0.68199,                0.40455,                0.88642,                0.35459,                0.87995,              0.0002972,              0.0002972,              0.0002972
                     89,                0.53576,                0.89727,                0.47556,                0.93229,                0.98976,                0.97537,                 0.9874,                0.93057,                0.97459,                0.94456,                0.97784,                0.68077,                 0.3716,                0.87371,                0.32017,                0.86251,              0.0002774,              0.0002774,              0.0002774
                     90,                0.50429,                0.90706,                0.44732,                0.89974,                      1,                0.97419,                0.98809,                0.93174,                0.98989,                0.96434,                0.98563,                0.68345,                 0.3794,                0.87899,                0.32472,                0.86514,              0.0002576,              0.0002576,              0.0002576
                     91,                0.41988,                 0.8835,                0.35988,                0.88909,                0.98363,                0.98522,                0.98748,                0.92808,                0.96881,                0.97044,                0.97847,                0.66645,                0.36517,                0.84527,                0.31957,                0.85897,              0.0002378,              0.0002378,              0.0002378
                     92,                0.44758,                  0.884,                0.34772,                0.90826,                0.99006,                0.98166,                0.98789,                0.93532,                0.98013,                0.97189,                 0.9847,                0.68999,                0.36517,                  0.806,                0.31208,                0.85972,               0.000218,               0.000218,               0.000218
                     93,                0.40079,                0.87924,                0.34355,                0.88219,                0.99004,                0.97925,                0.98798,                0.94472,                0.98506,                0.97432,                0.98773,                0.71011,                0.35618,                0.80445,                0.30977,                0.86076,              0.0001982,              0.0001982,              0.0001982
                     94,                0.40092,                0.89314,                0.35481,                0.89503,                 0.9944,                0.97537,                0.98796,                0.94694,                0.98898,                0.97044,                0.98776,                0.71242,                0.34025,                 0.7916,                0.30708,                0.85594,              0.0001784,              0.0001784,              0.0001784
                     95,                0.38491,                0.84292,                0.33691,                0.87174,                0.98931,                0.97537,                0.98766,                0.94376,                0.99518,                0.94089,                 0.9794,                0.70065,                0.35062,                0.78359,                0.30766,                0.86294,              0.0001586,              0.0001586,              0.0001586
                     96,                0.38445,                 0.8547,                 0.3243,                0.85308,                0.98952,                0.97537,                0.98798,                0.93873,                0.98453,                0.97044,                0.98763,                0.71073,                0.35648,                0.80407,                 0.3031,                0.86288,              0.0001388,              0.0001388,              0.0001388
                     97,                0.41682,                 0.8464,                0.34047,                0.88437,                0.99235,                0.97537,                0.98836,                0.94085,                0.98734,                0.97044,                0.98806,                0.71547,                0.35167,                0.80135,                0.29858,                0.86353,               0.000119,               0.000119,               0.000119
                     98,                0.39777,                0.80317,                0.32577,                 0.8845,                0.98519,                0.98314,                0.98842,                0.94728,                0.98025,                0.97822,                0.98817,                0.71752,                0.34303,                0.78875,                0.29467,                0.86222,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.40307,                0.82087,                0.32994,                0.89904,                0.98521,                0.98452,                0.98841,                0.94734,                0.97536,                0.97496,                0.98575,                 0.7194,                0.33283,                0.77766,                0.29467,                0.85393,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.39293,                0.81889,                 0.3279,                0.88012,                0.98513,                0.97912,                0.98848,                0.94811,                0.97488,                0.95605,                0.98094,                0.71569,                0.32698,                0.78792,                0.29354,                0.85029,               5.96e-05,               5.96e-05,               5.96e-05
